RequestID,OperationType,Time_ns
764,PUT,1999
765,GET,399
766,GET,200
767,GET,200
768,PUT,1200
769,GET,599
770,GET,600
771,PUT,700
772,GET,400
773,GET,601
774,PUT,900
775,GET,401
776,GET,301
777,PUT,700
778,GET,601
779,GET,800
780,GET,500
781,GET,9100
782,PUT,10700
783,GET,900
784,GET,601
785,GET,200
786,PUT,1001
787,GET,501
788,GET,401
789,GET,300
790,GET,300
791,PUT,700
792,GET,500
793,GET,599
794,PUT,1400
795,PUT,800
796,GET,601
797,PUT,1400
798,PUT,901
799,GET,600
800,GET,301
801,GET,400
802,GET,300
803,GET,300
804,GET,399
805,GET,200
806,GET,301
807,GET,300
808,GET,499
809,GET,499
810,GET,200
811,GET,599
812,PUT,800
813,GET,600
814,GET,500
815,GET,401
816,GET,599
817,GET,200
818,GET,301
819,GET,299
820,PUT,900
821,GET,601
822,GET,300
823,GET,601
824,GET,500
825,PUT,899
826,GET,200
827,GET,500
828,GET,700
829,GET,600
830,GET,400
831,PUT,700
832,GET,300
833,GET,300
834,GET,400
835,GET,200
836,GET,200
837,GET,399
838,GET,600
839,GET,501
840,GET,201
841,PUT,700
842,GET,601
843,PUT,1099
844,GET,600
845,GET,400
846,GET,200
847,GET,500
848,PUT,701
849,GET,299
850,PUT,900
851,GET,300
852,GET,300
853,GET,500
854,GET,200
855,GET,200
856,PUT,800
857,GET,599
858,GET,500
859,PUT,700
860,GET,499
861,GET,500
862,GET,200
863,GET,700
864,GET,200
865,GET,399
866,GET,300
867,PUT,700
868,PUT,1000
869,GET,300
870,GET,300
871,GET,401
872,GET,200
873,GET,600
874,GET,700
875,GET,500
876,GET,301
877,GET,200
878,GET,399
879,GET,200
880,GET,501
881,GET,601
882,PUT,3200
883,GET,300
884,GET,200
885,GET,301
886,GET,201
887,GET,500
888,PUT,1400
889,GET,399
890,GET,499
891,GET,200
892,GET,301
893,GET,299
894,GET,400
895,GET,500
896,PUT,600
897,PUT,900
898,GET,500
899,PUT,1001
900,GET,1400
901,PUT,900
902,GET,301
903,GET,200
904,GET,600
905,GET,700
906,GET,300
907,GET,400
908,PUT,901
909,GET,600
910,GET,601
911,GET,600
912,PUT,1100
913,PUT,899
914,GET,199
915,PUT,700
916,GET,200
917,GET,300
918,GET,401
919,GET,500
920,GET,500
921,PUT,701
922,GET,200
923,PUT,1400
924,GET,200
925,GET,200
926,PUT,700
927,GET,600
928,PUT,1100
929,PUT,901
930,GET,201
931,PUT,1000
932,GET,500
933,GET,200
934,GET,700
935,GET,500
936,PUT,600
937,GET,500
938,PUT,700
939,GET,500
940,GET,200
941,PUT,1001
942,GET,500
943,GET,201
944,GET,899
945,PUT,900
946,GET,399
947,GET,301
948,PUT,901
949,GET,400
950,GET,800
951,PUT,1099
952,GET,299
953,GET,500
954,GET,399
955,GET,400
956,GET,201
957,GET,500
958,PUT,700
959,GET,600
960,GET,200
961,PUT,700
962,GET,500
